"","X","ID","Vol","project","fazenda","oldID","mnat","foundrot","age","spacing","rotstartdate","maxVI","nobs","sumVI","meanVI","meanadj","maxadj","peakdate","adjpeakdate","peakage","adjpeakage","maxdate","startdate","rotlen","postdiff","postslope","meannat","prediff","prepeaksum","postpeaksum","prepeakmean","postpeakmean","sumage2","meanage2","postnorm","sumadj","sumxadj","preasum","postasum","preamean","postamean","sumaage2","sumxage2","sumxVIage2","meanaage2","postanorm","prexsum","prexmean","meanxage2","prean","prexn","rotan","rotxn","rotlensq","rotlenrt","rotlenln","medVI","medadj","preadiff","prepeakmed","postpeakmed","preamed","postamed","prexmed","medaage2","medage2","mednat","oldproj","MAP","MAT","elev","precip","precip_drymo","precip_wetmo","slope","north"
"1",893,11937842511,226,"456","RDBOBA","RDBOBA00456P09-316",2022.71416851001,4,91,"3,33 x 3,00","2009-03-16",3427.947141,18,50577.801781,2809.87787672222,640.728764718728,1305.00674766342,"2011-02-18","2010-07-17",23.1452054794521,16.0438356164384,"2015-04-26","2009-03-16",73.3808219178082,563.267252,11.2125080159249,2169.14911200349,1967.236436,15116.656905,32033.263942,2519.4428175,2912.11490381818,18544.537839,2649.21969128571,0.849521531119252,11533.1177649371,12644.1876864469,1422.36038458109,9154.57499144668,237.060064096848,832.234090131516,2378.54277349042,3489.61269500025,12435.349698,339.791824784346,0.63772397470098,2533.43030609091,844.476768696969,872.403173750061,6,3,18,15,5384.74502533308,8.56626067300127,4.29566261970671,2845.7496275,770.736285949544,1738.46659632872,2699.8658255,2864.613682,113.661276206081,773.846358314366,1091.41470533756,313.641919510737,2826.885573,2084.65205321134,"456",1148.776256,236.3105023,329.6486486,1296.352661,12.00456621,210.3789954,7.189189189,-0.241158990364305
"2",892,11936242517,229,"456","RDBOBA","RDBOBA00456P08-269",2021.7195750776,2,100,"3,33 x 3,00","2008-04-14",3276.748317,21,52341.1178735,2492.43418445238,355.417525553858,946.512380223767,"2014-05-17","2009-07-30",73.1178082191781,15.5178082191781,"2015-09-01","2008-04-14",88.6356164383562,1055.63283,68.0271862552966,2137.01665889852,1587.484022,41419.3156275,7834.777966,2436.43033102941,2611.59265533333,13055.5469005,2175.92448341667,0.797007399617544,7463.76803663101,8364.84325544921,5729.80031397631,1030.34279566499,337.047077292724,343.447598554996,1035.25164825474,1888.05787790673,10631.917926,172.541941375789,0.362855896796406,6630.87553279451,473.633966628179,472.014469476682,17,14,21,18,7856.27250140739,9.41464903426337,4.48453376823771,2558.054509,408.908265314366,1563.6907046252,2558.054509,2526.638199,408.908265314366,312.006652977059,480.730676573745,232.701279706081,2497.053134,2122.06472068563,"456",1147.011858,237.8300395,270.9251969,1296.352661,12,210.1067194,3.811023622,0.420250343063426
"3",891,11935942463,200.2,"412","RDBOBA","RDBOBA00412R09-212",1934.4919929853,3,86,"3,33 x 3,00","2009-11-27",2973.14123,18,41402.139212,2300.11884511111,164.929751093034,574.585194968685,"2014-05-17","2010-07-17",53.654794520548,7.62739726027397,"2016-05-06","2009-11-27",77.3260273972603,115.522089,4.88027343576389,2135.18909401808,1074.525889,28695.060864,9733.937118,2207.31237415385,2433.4842795,15614.039273,2230.577039,0.81848929843807,2968.73551967461,4326.77088110991,1124.28829079182,1269.86203391411,86.4837146762937,317.465508478527,-310.853144604453,1047.18221683084,7027.938201,-44.4075920863504,0.552512510343795,2482.32365222711,275.813739136346,349.060738943614,13,9,18,14,5979.31451304185,8.79352189951559,4.34803060522403,2285.6100955,249.749646630134,1041.45832623365,2266.068373,2493.4799035,216.860894981213,336.313597562519,250.765205389082,-23.2775946271972,2315.307442,2003.11625736218,"412",1139.319149,239.2340426,254.5652174,1253.423035,12,208.7659574,7.586956522,-0.651753154624117
"4",890,11935142512,231.2,"412","RDBOBA","RDBOBA00412P10-171",1979.82393886578,4,79,"3,00 x 2,50","2010-02-15",3650.688818,18,45779.8870611,2543.32705895,478.127381159436,1158.36623988418,"2011-01-09","2011-07-12",10.7835616438356,16.8328767123288,"2016-08-26","2010-02-15",78.3780821917808,1203.453941,17.804016231558,2065.19967779056,2439.210829,3232.3134191,38896.884824,1077.43780636667,2778.348916,12562.8157681,2093.80262801667,0.761047860968357,8606.29286086985,11255.7603368879,-2649.46747601803,10356.8904224706,-883.155825339343,739.777887319329,277.721535949503,2927.18901196753,9330.502349,46.2869226582505,0.638639026110859,0,NA,975.729670655844,3,0,18,15,6143.12376806155,8.85313967989779,4.36154432439075,2728.787949,661.763928352942,2126.87287724158,1080.638427,2748.640388,-878.348083325226,684.682247828022,NA,92.1090403942922,1972.6209415,1959.49666887151,"412",1146.170213,237.8297872,267.5287958,1290.651806,12,210.3404255,5.471204188,-0.56960252265979
"5",889,11935042490,188.7,"412","RDBOBA","RDBOBA00412P10-223",1946.18153827757,3,71,"3,00 x 2,50","2010-04-12",3373.713531,13,31805.610152,2446.58539630769,360.948677919042,1532.89545401984,"2012-07-06","2012-07-06",26.827397260274,26.827397260274,"2015-04-26","2010-04-12",60.4931506849315,298.392213,8.8633754675293,2085.63671838865,2070.247411,10771.878933,17660.017688,1795.3131555,2943.33628133333,8033.522802,1606.7045604,0.872432189125702,4692.33281294755,7119.06360294851,-1468.72835606162,4628.16571498933,-244.788059343604,771.360952498222,-2357.8263314507,68.9044585502613,3720.398892,-471.565266290141,0.503205192810389,958.002433939344,319.334144646448,34.4522292751307,6,3,13,10,3659.42127978983,7.77773428994148,4.10253014680854,2678.298043,606.743559339242,2720.54837022884,1630.3411735,2979.1177075,-267.297346547246,761.360549595438,40.3889081774587,-563.110243467295,1556.934863,2015.8331704673,"412",1145.324324,238.1351351,250.7142857,1259.874777,12,210.2972973,3.805194805,0.858797365779363
"6",888,11934942516,213.3,"412","RDBOBA","RDBOBA00412P08-172",2011.6098863371,4,99,"3,33 x 3,00","2008-05-24",3134.241138,23,54107.2355638,2352.48850277391,202.945414626817,800.623424884178,"2015-02-13","2013-07-01",80.7452054794521,61.2821917808219,"2016-08-10","2008-05-24",98.6301369863014,1096.740118,61.3220194653799,2149.5430881471,2229.1244592,39238.2882068,11734.706219,2308.1346004,2346.9412438,15970.9625028,2281.56607182857,0.748806853226875,4667.7445364168,6061.75467859687,3502.94995524656,1051.78483670376,206.055879720386,210.356967340753,793.579986206716,1835.48592210917,15065.845824,113.368569458102,0.262741459720822,4896.96009742663,349.782864101902,305.914320351528,17,14,23,20,9727.90392193657,9.93127066322842,4.59137686385576,2372.653221,213.740396372802,1842.52936078663,2333.871052,2464.941162,240.53603892166,202.925950572705,343.35056980734,189.495512677257,2493.408923,2071.55448366076,"412",1148.421801,237.6556082,295.4467409,1275.937592,12,211.093207,5.922098569,-0.895509331178543
"7",887,11934442505,176.6,"412","RDBOBA","RDBOBA00412P10-174",1997.64274046901,3,74,"3,00 x 3,33","2010-06-07",3359.706725,12,31920.8801533,2660.07334610833,778.577490731613,1360.74996288418,"2013-07-01","2012-06-20",36.8219178082192,24.4602739726027,"2014-07-04","2010-06-07",48.9205479452055,191.493596333333,15.8277089360658,1881.49585537672,2328.6462127,16417.7265673,12211.546143,2345.38950961429,3052.88653575,11274.2774993,2254.85549986,0.908676496383773,9342.92988877936,10198.5137449046,4019.05106812359,3963.12885777159,574.150152589084,990.782214442897,2091.3085216853,2946.89237781053,10311.316269,418.261704337061,0.728114820112054,4874.63492424881,812.439154041469,736.723094452632,7,6,12,11,2393.22001125915,6.99432255084118,3.89019751159855,2749.826198,883.175429955702,2155.86888922427,2478.992875,3023.946791,669.312422177459,944.3388335622,765.672870524322,669.312422177459,2478.992875,1913.2363859378,"412",1158.926641,235.8455598,263.8671875,1258.805649,12.15444015,214.1544402,7.01171875,0.149360074137108
"8",885,11934242473,217.5,"412","RDBOBA","RDBOBA00412P10-193",1978.20712823413,3,76,"3,00 x 2,50","2010-06-15",3156.503033,14,36360.6053913,2597.18609937857,589.139977767505,1146.40745087119,"2011-06-18","2011-06-18",12.0986301369863,12.0986301369863,"2015-09-01","2010-06-15",62.5972602739726,140.000449333334,2.77236132848669,2008.04612161107,2399.3888627,3377.1835873,29973.343051,1688.59179365,2724.84936827273,14436.4511023,2406.07518371667,0.863249405999455,8247.95968874506,9653.10296891236,-626.785440794493,7728.33767866837,-313.392720397246,702.576152606215,3217.29766692701,4622.4409470943,13825.761212,536.216277821168,0.612850302108826,778.357839372803,778.357839372803,924.488189418861,2,1,14,13,3918.41699380747,7.91184303901263,4.13672151155682,2696.7223395,748.363654728492,2551.55073103848,1688.59179365,2696.214649,-313.392720397246,718.369470084181,778.357839372803,863.518718775131,2689.2659355,1928.85097851582,"412",1149.273196,237.8582474,296.1402597,1268.94754,12,211.1417526,6.942857143,0.161178801686949
"9",886,11934242489,164.5,"412","RDBOBA","RDBOBA00412R10-191",1989.92205332895,2,79,"3,33 x 3,00","2010-06-15",2643.493909,19,39643.782066,2086.51484557895,140.445461514967,625.397251902846,"2013-07-01","2011-07-28",36.558904109589,13.413698630137,"2016-06-23","2010-06-15",72.3287671232877,450.8307765,12.6036483932675,1946.06938406398,973.560356,16879.781745,20283.35092,1875.531305,2253.70565777778,10665.432221,1777.57203683333,0.85254808044189,2668.46376878438,3666.75942080698,529.11456692965,1589.55728097055,58.7905074366277,176.617475663394,-237.308926578293,596.559072231874,5611.149003,-39.5514877630489,0.282408461383568,1362.98256573982,227.163760956636,198.853024077291,9,6,19,15,5231.45055357478,8.50463209805619,4.28122193555192,2098.619792,79.4477789686853,1023.2685721504,1812.329506,2247.385576,27.0653083392426,181.785704572705,173.18353666316,-61.9455186279419,1770.341731,1913.15639320839,"412",1153.184701,236.4421642,290.0187617,1268.94754,12,212.3787313,7.429643527,-0.846325754044944
"10",884,11933842454,202.3,"412","RDBOBA","RDBOBA00412P10-198",1947.850376097,3,71,"3,00 x 2,50","2010-04-12",3528.463337,16,39056.084183,2441.0052614375,352.841961735961,1296.97130814886,"2014-02-10","2012-05-19",46.027397260274,25.2493150684931,"2015-08-24","2010-04-12",64.4383561643836,1185.323949,64.3814347299107,2088.16329970154,2115.612224,21590.060002,13937.560844,2159.0060002,2787.5121688,10382.508152,1730.41802533333,0.790007406218374,5645.47138777538,7788.7786448769,2565.3297792487,2450.21242364018,256.53297792487,490.042484728035,-1265.36026340736,877.946993694163,6200.318116,-210.89337723456,0.377836025862023,4708.63703635022,672.662433764317,292.648997898054,10,7,16,13,4152.30174516795,8.02735050713394,4.16570904843007,2539.286482,465.667918082396,2310.89922549278,2156.7123635,2756.129145,308.427740963223,471.442645942601,603.590300734157,-99.6525900262114,1708.7474965,1959.49666887151,"412",1146.797834,238.0505415,272.3,1268.94754,12,210.9494585,5.103571429,0.440442893564222
